index,seconds_since_hr_recording,date_time,Heart rate value,Rate of change,Temperature,Oxygen level,Degree of motion
0,0,8/16/2022 8:00,79.99167,1,96.66666667,98,1
1,300,8/16/2022 8:05,90.46638,10.47471,101,100,7
2,600,8/16/2022 8:10,103.17859,12.71221,101,100,7
3,900,8/16/2022 8:15,101.18102,-1.99757,96,94.50243,1
4,1200,8/16/2022 8:20,102.35111,1.17009,97.17009,97.67009,1
5,1500,8/16/2022 8:25,96.663635,-5.687475,96,92.312525,5
6,1800,8/16/2022 8:30,101.95556,5.291925,101,100,5
7,2100,8/16/2022 8:35,103.52348,1.56792,97.23458667,98.56792,1
8,2400,8/16/2022 8:40,100.187775,-3.335705,96,93.33096167,3
9,2700,8/16/2022 8:45,89.39065,-10.797125,96,86.202875,7
10,3000,8/16/2022 8:50,94.844444,5.453794,101,100,5
11,3300,8/16/2022 8:55,94.89476,0.050316,96.550316,97.050316,1
12,3600,8/16/2022 9:00,89.03206,-5.8627,96,90.80396667,5
13,3900,8/16/2022 9:05,74.57566,-14.4564,96,81.87693333,7
14,4200,8/16/2022 9:10,83.583466,9.007806,101,100,6
15,4500,8/16/2022 9:15,85.78485,2.201384,100.201384,99.201384,3
16,4800,8/16/2022 9:20,85.423096,-0.361754,96,96.638246,1
17,5100,8/16/2022 9:25,88.76833,3.345234,100.345234,100,3
18,5400,8/16/2022 9:30,95.78333,7.015,101,100,6
19,5700,8/16/2022 9:35,97.11389,1.33056,96.83056,99.33056,1
20,6000,8/16/2022 9:40,98.612625,1.498735,96.83206833,98.498735,1
21,6300,8/16/2022 9:45,93.08929,-5.523335,96,91.476665,5
22,6600,8/16/2022 9:50,95.12778,2.03849,97.37182333,99.03849,3
23,6900,8/16/2022 9:55,94.599365,-0.528415,96.471585,99.471585,1
24,7200,8/16/2022 10:00,99.173256,4.573891,100.2405577,100,3
25,7500,8/16/2022 10:05,99.582146,0.40889,96.40889,97.07555667,1
26,7800,8/16/2022 10:10,98.0737,-1.508446,96,95.491554,1
27,8100,8/16/2022 10:15,99.380554,1.306854,96.97352067,97.64018733,1
28,8400,8/16/2022 10:20,103.045876,3.665322,101,100,3
